link,anger,disgust,fear,joy,sadness
https://twitter.com/hyd/status/1273223485041586176,0.043158,0.023731,0.30986,0.151279,0.590885
https://twitter.com/hyd/status/1273208347861422080,0.065192,0.035294,0.038253,0.776978,0.080151
https://twitter.com/HydTimes/status/1273110622029271040,0.097537,0.118789,0.10233,0.413548,0.141658
https://twitter.com/fans_hyderabad/status/1272858226812309506,0.037677,0.001782,0.177285,0.561799,0.297102
https://twitter.com/HydTimes/status/1272857705867182081,0.037677,0.001782,0.177285,0.561799,0.297102
https://twitter.com/hyd/status/1272845976999530496,0.10822,0.191267,0.063692,0.256041,0.262401
https://twitter.com/HydTimes/status/1272756568925171712,0.054659,0.600498,0.058375,0.276574,0.067031
https://twitter.com/HeightsRoad/status/1272490182323781638,0.360901,0.212947,0.257153,0.076155,0.183861
https://twitter.com/HydTimes/status/1272385846822363138,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/HydTimes/status/1272015772068397056,0.378858,0.428504,0.080011,0.075811,0.211614
https://twitter.com/tweet_aneri/status/1271765547399524355,0.054649,0.102695,0.051577,0.0381,0.64249
https://twitter.com/hyd/status/1271713464617238528,0.10545,0.118236,0.102094,0.234051,0.348297
https://twitter.com/HydTimes/status/1271661071191941122,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/HydTimes/status/1271396829930766337,0.209821,0.093261,0.131624,0.124216,0.472705
https://twitter.com/HydTimes/status/1271301392737566721,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/athermoin1/status/1271265344791838720,0.501851,0.068453,0.099964,0.073846,0.474645
https://twitter.com/jsaurabh71/status/1271045532228583424,0.054032,0.018246,0.115286,0.05892,0.07003
https://twitter.com/MovieTalkies/status/1271039054683836416,0.126493,0.02108,0.115377,0.248842,0.21605
https://twitter.com/HydTimes/status/1270977743287545857,0.242811,0.078679,0.029188,0.120454,0.198177
https://twitter.com/MMFarooqui2/status/1270940417177948160,0.265435,0.477268,0.091007,0.032508,0.45219
https://twitter.com/HydTimes/status/1270937863127830529,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/hyd/status/1270686724998541312,0.162288,0.104832,0.227963,0.402399,0.216079
https://twitter.com/hyd/status/1270641433079414784,0.063128,0.096517,0.05138,0.728089,0.07097
https://twitter.com/HydTimes/status/1270577681881616384,0.047426,0.044655,0.192043,0.305009,0.161559
https://twitter.com/HydTimes/status/1270574484760563712,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/SravanTOI/status/1270391833172959232,0.196756,0.232222,0.25605,0.192938,0.232488
https://twitter.com/Oishani_TNIE/status/1270360868509941762,0.099438,0.100962,0.141773,0.072904,0.674248
https://twitter.com/camillealbanekh/status/1270344351827111942,0.032375,0.010774,0.036918,0.757381,0.023273
https://twitter.com/dna/status/1270304666648055809,0.048673,0.054574,0.04043,0.391088,0.050468
https://twitter.com/HydTimes/status/1270214603876651009,0.10367,0.109088,0.140297,0.233517,0.272998
https://twitter.com/prashantvedha/status/1270173947548430341,0.023438,0.046657,0.018989,0.88491,0.016912
https://twitter.com/athermoin1/status/1270101855398313985,0.317973,0.304502,0.227517,0.076067,0.287316
https://twitter.com/athermoin1/status/1270100890322493440,0.212342,0.355752,0.159152,0.035687,0.501461
https://twitter.com/DelhiTimesTweet/status/1269997296676036608,0.040001,0.132461,0.074613,0.133779,0.084614
https://twitter.com/Oishani_TNIE/status/1269984784761024513,0.119872,0.205132,0.102167,0.190355,0.343185
https://twitter.com/writetohussain/status/1269981364511629313,0.017672,0.103765,0.117318,0.538178,0.096978
https://twitter.com/Uv_Vijay_/status/1269980259056619521,0.308199,0.171398,0.275214,0.095729,0.191216
https://twitter.com/gojeeto/status/1269969172353757186,0.109712,0.235838,0.110386,0.212027,0.137491
https://twitter.com/Oishani_TNIE/status/1269965681765875717,0.308199,0.171398,0.275214,0.095729,0.191216
https://twitter.com/hyd/status/1269961975557230597,0.066661,0.027432,0.088689,0.617495,0.093637
https://twitter.com/balivada/status/1269957967815667712,0.040581,0.048814,0.108639,0.129725,0.529052
https://twitter.com/Oishani_TNIE/status/1269944894954577920,0.178537,0.107352,0.143372,0.197015,0.060098
https://twitter.com/TOIHyderabad/status/1269942231881957376,0.051147,0.330138,0.146915,0.168069,0.493031
https://twitter.com/LocalSamosa/status/1269928403672510464,0.115029,0.051941,0.081299,0.053746,0.143211
https://twitter.com/HyattHyderabad/status/1269926257900220416,0.023438,0.046657,0.018989,0.88491,0.016912
https://twitter.com/HydTimes/status/1269909529262612482,0.017554,0.035696,0.037584,0.133771,0.123655
https://twitter.com/shoopyin/status/1269908789391765506,0.140285,0.053931,0.074652,0.158283,0.135891
https://twitter.com/mr__mujahid/status/1269906668751486976,0.049017,0.147469,0.099944,0.14763,0.227585
https://twitter.com/ivyasaa/status/1269903868713775104,0.094623,0.09712,0.131965,0.171034,0.166698
https://twitter.com/TheHansIndiaWeb/status/1269895861439328259,0.143619,0.152598,0.092696,0.16598,0.099516
https://twitter.com/TheHansIndiaWeb/status/1269868849001664512,0.183609,0.21513,0.089369,0.304234,0.059465
https://twitter.com/sowmya_sangam/status/1269866094342180867,0.077041,0.106787,0.152755,0.185091,0.180174
https://twitter.com/sowmya_sangam/status/1269863406950965250,0.144133,0.114537,0.152164,0.163333,0.238841
https://twitter.com/TheHansIndiaWeb/status/1269847495217053697,0.11362,0.070604,0.084893,0.150575,0.138699
https://twitter.com/TheHansIndiaWeb/status/1269842546059960326,0.648561,0.084398,0.064973,0.030477,0.155665
https://twitter.com/trivedigvn/status/1269840779863830530,0.086606,0.138237,0.319968,0.151826,0.262565
https://twitter.com/gupta__a/status/1269818611528380416,0.275701,0.077742,0.078974,0.115008,0.092233
https://twitter.com/syedmohammedd/status/1269690894640222208,0.354361,0.132502,0.023852,0.333352,0.23742
https://twitter.com/DwNewsHyd/status/1269683859664199682,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/ImadTravel/status/1269680544385830914,0.191964,0.627756,0.068774,0.052311,0.185633
https://twitter.com/NewsFa9/status/1269666463448813569,0.477448,0.125124,0.114673,0.237185,0.177854
https://twitter.com/Chittipantulu/status/1269644013298016256,0.299359,0.077827,0.010473,0.329319,0.309239
https://twitter.com/DigitalBharath/status/1269641127553974272,0.217447,0.156054,0.141181,0.361458,0.266525
https://twitter.com/HydTimes/status/1269584893920423937,0.160049,0.116543,0.154364,0.359573,0.208173
https://twitter.com/hyd/status/1269569386442039297,0.209159,0.187698,0.146946,0.278401,0.283296
https://twitter.com/hyd/status/1269554214629507072,0.016293,0.298038,0.192223,0.584082,0.034168
https://twitter.com/ShakeebShuweb/status/1269535521497178113,0.076967,0.033471,0.245257,0.36629,0.233184
https://twitter.com/ShakeebShuweb/status/1269519361036828672,0.129149,0.083001,0.089223,0.574429,0.175118
https://twitter.com/RoopeshKumar007/status/1269491424405282817,0.210158,0.135248,0.059768,0.146067,0.227114
https://twitter.com/HydTimes/status/1269487325198741504,0.090485,0.097288,0.124458,0.236557,0.274463
https://twitter.com/athermoin1/status/1269353978505998338,0.16427,0.153803,0.110062,0.138853,0.181181
https://twitter.com/HydTimes/status/1269301774986379271,0.078142,0.036329,0.095975,0.20411,0.600174
https://twitter.com/SuperGops/status/1269297127861047296,0.051939,0.036553,0.583053,0.107666,0.158547
https://twitter.com/HydTimes/status/1269290451942555648,0.040627,0.038543,0.047067,0.706549,0.085005
https://twitter.com/HydTimes/status/1269286675299041281,0.031697,0.002953,0.01588,0.516085,0.137183
https://twitter.com/HydTimes/status/1269282903621619714,0.13969,0.075626,0.146947,0.367388,0.360169
https://twitter.com/SravanTOI/status/1269270066094198786,0.477448,0.125124,0.114673,0.237185,0.177854
https://twitter.com/hyd/status/1269206979463057409,0.022134,0.065044,0.046448,0.784929,0.062485
https://twitter.com/plus100years/status/1269131850393370624,0.005733,0.004586,0.011161,0.965982,0.002513
https://twitter.com/GermanyChennai/status/1269122926126616576,0.015054,0.018652,0.077533,0.832831,0.041015
https://twitter.com/athermoin1/status/1269101177020411904,0.170425,0.009762,0.033609,0.192259,0.10067
https://twitter.com/DwNewsHyd/status/1268972520280973312,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/stoppression/status/1268843825956401154,0.239641,0.075222,0.217282,0.067001,0.311997
https://twitter.com/GermanyChennai/status/1268806086615879682,0.063388,0.14633,0.069678,0.073117,0.218017
https://twitter.com/tweet_aneri/status/1268762182390448130,0.209322,0.164522,0.064289,0.047182,0.404549
https://twitter.com/SuperGops/status/1268572148718682112,0.154992,0.226991,0.356706,0.23283,0.212462
https://twitter.com/PARNANDYMURTY/status/1268484460825022464,0.132199,0.068985,0.081896,0.139365,0.130904
https://twitter.com/hyd/status/1268482143769985024,0.123145,0.060176,0.055706,0.213555,0.240941
https://twitter.com/SuperGops/status/1268478949262192641,0.049858,0.020621,0.226332,0.32122,0.184615
https://twitter.com/hyd/status/1268467111548137473,0.303833,0.123975,0.085195,0.073146,0.367642
https://twitter.com/IBC24News/status/1268429119873642496,0.26796,0.178391,0.055409,0.175461,0.154045
https://twitter.com/oldsassysoul/status/1268184642114383872,0.041857,0.119024,0.125444,0.09932,0.117184
https://twitter.com/cookieman_india/status/1267814977857032197,0.1064,0.040901,0.044189,0.134174,0.098559
https://twitter.com/narenrk/status/1267803906773356546,0.080585,0.152756,0.330784,0.067786,0.211532
https://twitter.com/cookieman_india/status/1267769679407243273,0.1064,0.040901,0.044189,0.134174,0.098559
https://twitter.com/cookieman_india/status/1267722619165585415,0.1064,0.040901,0.044189,0.134174,0.098559
https://twitter.com/cookieman_india/status/1267677069002936321,0.1064,0.040901,0.044189,0.134174,0.098559
https://twitter.com/shashi_70/status/1267557892208488449,0.158527,0.019886,0.113744,0.423519,0.183433
https://twitter.com/thegossipmamma/status/1267485126503665665,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/FarzanAhmedHyd/status/1267483863065886720,0.017581,0.162545,0.204869,0.122446,0.343567
https://twitter.com/TheSiasatDaily/status/1267462328724922375,0.093301,0.032923,0.027082,0.470687,0.046716
https://twitter.com/TheHansIndiaWeb/status/1267430984527405056,0.136393,0.029426,0.05591,0.07254,0.132958
https://twitter.com/amars4u/status/1267424484438441984,0.063428,0.572037,0.052039,0.081856,0.095649
https://twitter.com/cookieman_india/status/1267415405703786497,0.11031,0.034688,0.024432,0.111445,0.102233
https://twitter.com/4700BCPopcorn/status/1267354924427304960,0.121548,0.018759,0.010996,0.512143,0.035231
https://twitter.com/tweet_aneri/status/1267319755007946752,0.134453,0.107199,0.019555,0.128183,0.504128
https://twitter.com/reshubtiwari/status/1267311653223186432,0.294963,0.131944,0.259528,0.036302,0.478214
https://twitter.com/XpressHyderabad/status/1267150527562788864,0.460196,0.022601,0.066436,0.404743,0.138286
https://twitter.com/HiHyderabad/status/1267110445476802560,0.020857,0.028887,0.143169,0.395653,0.426679
https://twitter.com/HaleemNajma/status/1266975563475910656,0.163906,0.174563,0.182373,0.046993,0.393913
https://twitter.com/sarvakk/status/1266903211815784449,0.048581,0.085591,0.113669,0.020992,0.710335
https://twitter.com/sarvakk/status/1266900238041669632,0.060996,0.037422,0.045724,0.172607,0.026581
https://twitter.com/AjazAhmado007/status/1266782374471196672,0.004983,0.141377,0.150995,0.1541,0.079882
https://twitter.com/TelanganaMulki/status/1266730781084286981,0.163748,0.067761,0.076899,0.127622,0.123308
